image,y,score,pred
007.jpg,0,0.08511178029984004,0
017.jpg,0,0.10670890136514742,0
018.jpg,0,0.13298221494748486,0
020.jpg,0,0.06756088241851496,0
021.jpg,0,0.11921942809850467,0
027.jpg,0,0.14806435487869837,0
028.jpg,0,0.1192195382081747,0
033.jpg,1,0.500002752815528,1
034.jpg,1,0.34865611594902457,1
044.jpg,0,0.14806648198657227,0
046.jpg,1,0.29423079776685573,1
050.jpg,1,0.26895874142956094,1
051.jpg,1,0.2942305948440239,1
054.jpg,1,0.26895662583265495,1
063.jpg,0,0.10670494365484003,0
065.jpg,0,0.11921980747654402,0
066.jpg,0,0.13298200717163663,0
070.jpg,0,0.08511652134245741,0
074.jpg,0,0.08511545345125243,0
078.jpg,0,0.11922391437618458,0
080.jpg,0,0.5000033191026899,1
082.jpg,0,0.1645334281277173,0
083.jpg,0,0.08511430895663752,0
089.jpg,0,0.18244328957700154,0
096.jpg,0,0.14806525142869714,0
104.jpg,0,0.16453346966489105,0
111.jpg,1,0.24510353469821453,1
113.jpg,0,0.3208338644427347,1
116.jpg,1,0.2018289875952892,1
117.jpg,0,0.18244594770802605,1
119.jpg,0,0.08511866523346956,0
123.jpg,0,0.10670822106204651,0
124.jpg,1,0.2689573539495775,1
126.jpg,1,0.37755073640145176,1
130.jpg,1,0.5926646220659934,1
140.jpg,0,0.11922060087212549,0
143.jpg,0,0.29422974637242083,1
149.jpg,0,0.14806338106523698,0
150.jpg,0,0.11922279298328502,0
152.jpg,0,0.18244472510571347,1
153.jpg,0,0.1480666902347469,0
154.jpg,0,0.08511192998305507,0
156.jpg,0,0.10670592291195077,0
158.jpg,0,0.1329793126232621,0
159.jpg,0,0.348657207004567,1
161.jpg,0,0.182441389669262,0
167.jpg,0,0.16453815275024739,0
177.jpg,1,0.16453628033071974,0
179.jpg,0,0.2227155952734967,1
180.jpg,0,0.16453990892095557,0
181.jpg,0,0.13298397225547853,0
182.jpg,0,0.09536356027936309,0
184.jpg,0,0.18244298754964458,0
186.jpg,0,0.18244260565261036,0
193.jpg,0,0.10670783623364907,0
196.jpg,0,0.09536641889360785,0
210.jpg,0,0.11921835787770393,0
216.jpg,0,0.0675652275488704,0
222.jpg,0,0.18244080236247626,0
224.jpg,0,0.2227188575014089,1
226.jpg,0,0.16453667789949208,0
233.jpg,0,0.1645348941901595,0
235.jpg,0,0.4073427287435984,1
238.jpg,0,0.2942270956972501,1
239.jpg,0,0.16453466398655472,0
242.jpg,0,0.07587133003526587,0
246.jpg,0,0.0851135054440292,0
247.jpg,0,0.06756015046100915,0
266.jpg,0,0.16453722409872323,0
287.jpg,0,0.07587379374519483,0
289.jpg,1,0.3486560352130994,1
290.jpg,0,0.5000037675655682,1
312.jpg,0,0.16453563935818755,0
315.jpg,0,0.10670512903776416,0
318.jpg,0,0.13298460682199253,0
319.jpg,0,0.1480666317636843,0
334.jpg,1,0.3775506901280873,1
340.jpg,1,0.32083511141096366,1
344.jpg,1,0.24510271737842493,1
351.jpg,1,0.16453443011133498,0
356.jpg,1,0.1824503895915951,1
357.jpg,0,0.3486559034381191,1
361.jpg,1,0.3775519975241366,1
364.jpg,1,0.26895618463864485,1
369.jpg,1,0.24510492396102096,1
373.jpg,1,0.40734176123845156,1
375.jpg,1,0.24510036386969142,1
381.jpg,1,0.4378312200015363,1
394.jpg,0,0.3775524049159155,1
395.jpg,0,0.06009877136519825,0
405.jpg,1,0.43783169025027074,1
409.jpg,1,0.5000038409042993,1
410.jpg,1,0.24510638343207705,1
415.jpg,1,0.0953664434565523,0
420.jpg,0,0.14806756418321115,0
424.jpg,0,0.10671019209179698,0
426.jpg,0,0.07587400529373724,0
427.jpg,1,0.2689602578023491,1
430.jpg,1,0.29423219984560284,1
431.jpg,0,0.10670596420160568,0
432.jpg,0,0.3486566620283077,1
441.jpg,0,0.06756299013881255,0
448.jpg,0,0.13298210024879392,0
449.jpg,0,0.20183241165542415,1
455.jpg,0,0.08511651877714058,0
458.jpg,0,0.08511528934646523,0
464.jpg,0,0.1645402963842206,0
469.jpg,0,0.18244728313466363,1
470.jpg,0,0.4378298346596364,1
472.jpg,0,0.14806531898481812,0
474.jpg,0,0.20182990873572237,1
482.jpg,0,0.06756008648015083,0
484.jpg,0,0.053415660735749805,0
486.jpg,0,0.08511430810761025,0
487.jpg,0,0.1645383550312871,0
491.jpg,0,0.1480640767882858,0
492.jpg,0,0.06756087762491224,0
495.jpg,0,0.0758730658974255,0
